"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population"
"C120",-0.012387889,0.03341857,-0.089201275,-0.143740739,-0.020294126,0.013253366,0.064938807,-0.054032803,0.032445211,0.260484453,0.162333151,-0.29114516,0.169327477,0.057894293,0.030258352,-0.010766129,0.031679869,0.025319818,"CRP"
"C121",0.105815738,0.017718499,0.107166996,0.0975585,0.093937439,0.039011406,-0.001809164,0.086425418,0.057215078,0.044278762,0.177338663,-0.143787002,0.006088129,-0.003897381,-0.109135113,0.064133158,0.113426698,0.023899478,"CRP"
"C122",0.005062383,-0.048216868,0.025847136,0.078428586,8.41e-05,-0.021586804,-0.022923377,0.045122303,0.095373145,-0.306651053,0.059838047,-0.593858161,-0.075082791,0.00296011,0.130717008,0.017126912,-0.018688425,-0.208191899,"CRP"
"C123",0.071115905,0.090992425,0.053591118,0.107143902,-0.006542418,0.040874435,0.01258079,0.052134073,0.082029784,-0.20911107,0.17230984,0.649710907,0.052878649,0.071737246,-0.052705884,0.004363777,0.121123049,0.081913528,"CRP"
"C125",0.045715265,0.132282223,0.056684317,0.016042843,0.050561432,0.071666408,0.102663965,0.02815707,-0.074568625,-0.169841998,-0.139055333,-0.738591169,-0.002228196,0.05792462,0.09184761,0.052904805,0.28429873,0.244084041,"CRP"
"C126",-0.036765952,0.083647376,-0.016538358,-0.036372995,-0.010967022,-0.075317837,0.085513757,0.042023437,0.076288284,0.031694852,0.130623127,-0.192766645,-0.101115464,0.071191414,0.019178474,-0.010194412,0.001710889,0.103810777,"CRP"
"C131",0.051968846,-0.002558421,0.002058623,-0.030315068,0.042231541,-0.005221966,0.048274437,0.057007963,0.112018865,0.03176865,-0.14831602,-0.094312906,0.010559721,0.034074034,0.095052654,0.061541345,-0.012698823,-0.05107561,"CRP"
"C132",-0.013441116,-0.0208928,0.029202018,0.046743239,-0.030368598,-0.009070768,-0.038455169,0.023472224,-0.001448933,-0.244122702,-0.057148086,-0.441734623,0.105025055,-0.00851794,0.115370855,-0.010221334,0.231655064,0.049981012,"CRP"
"C133",-0.04030603,-0.054633134,-0.0348023,-0.059649894,-0.001502956,0.02753564,-0.019507706,0.04052959,0.034768972,0.142108337,0.331182199,0.466186003,-0.094387658,0.040447427,-0.296236632,0.022864019,0.296503504,-0.065714799,"CRP"
"C134",0.061636892,-0.045854392,0.13693318,0.192842362,0.078238714,0.089050976,-0.129147047,0.097269912,0.006638486,-0.186845595,0.116134369,0.209245233,0.229947717,0.010383242,-0.051575257,0.07468926,0.200511816,0.022574015,"CRP"
"C135",-0.084311751,-0.041255273,-0.012331228,0.050564705,0.056350416,0.042631931,-0.109645908,0.014967812,0.047270799,-0.264777038,0.046258843,0.379597629,0.025591605,0.024198304,0.16188352,-0.001643856,-0.23626842,0.053433359,"CRP"
"C137",-0.052014396,-0.052758857,0.004354051,-0.065079615,-0.021345586,0.062648791,-0.041617403,0.001498646,0.027966753,0.135644042,-0.008253919,0.182446496,-0.374899399,-0.067503396,0.016572482,-0.042412307,0.115286479,-0.069693121,"CRP"
"C138",-0.032493538,0.026411059,-0.025835958,0.122019757,0.039162565,-0.008330451,-0.019057694,0.031441193,-0.0528467,-0.056825844,0.13788196,0.099742235,0.029992857,0.035194248,0.036138455,0.049584864,0.040916576,0.124192355,"CRP"
"C139",-0.029086176,0.037558077,-0.049696221,0.047715953,0.009525036,-0.00083505,0.051732814,-0.013951539,0.031395089,-0.014921663,0.012135631,0.237968938,-0.010999646,0.019396024,0.065477123,0.013991084,0.187630776,0.077774251,"CRP"
"C141",0.080283759,0.058002064,0.081681655,-0.042110758,0.016156682,-0.023485818,0.022591032,0.039306883,-0.017861877,0.146530598,0.030236155,0.178886117,-0.155615954,-0.04505926,0.146495281,0.039974088,0.182203619,0.009085534,"CRP"
"C142",-0.11340734,-0.092509453,-0.043446868,0.046449075,-0.028921096,0.017643217,-0.121628631,-0.033471332,-0.01365507,-0.153570058,0.122770386,0.098579506,-0.002713273,-0.021524315,-0.005163236,-0.023892943,-0.272146904,0.012312469,"CRP"
"C143",-0.05726161,-0.001657864,-0.033127751,0.040295884,0.048319545,-0.015584997,-0.041377765,-0.03581108,-0.045992047,-0.098788328,-0.020472287,0.322289143,0.114336517,-0.012212294,-0.050702933,0.040943972,-0.143235719,0.074134934,"CRP"
"C144",0.049643886,0.035173385,0.027119146,-0.00618039,-0.080163066,0.069573438,0.058629921,-0.006713869,0.055780937,0.124772491,0.465406383,0.008056189,-0.075519566,0.070644359,-0.171984394,-0.028208685,0.563920251,0.05984729,"CRP"
"C146",-0.0062282,-0.056591137,-0.047153081,-0.124913317,0.025299745,0.093130059,0.123480774,0.005899296,0.002048244,-0.2355493,-0.04842187,-0.072517867,-0.088674552,0.041393449,-0.095823964,0.026193391,-0.025252638,0.182562511,"CRP"
"C148",-0.027338705,-0.079473923,-0.011230285,0.065660752,-0.028963908,-0.065733872,-0.003959499,0.011066674,-0.022251511,-0.200338737,-0.016092158,0.218427784,0.060964866,-0.017502574,-0.085277334,-0.032283311,0.114445449,0.004654538,"CRP"
"C150",0.160773978,0.16486429,0.136978949,0.083981111,0.072425092,0.046495336,0.023756302,0.086528167,-0.012969392,0.13138193,0.038250324,-0.14962461,-0.101290282,0.001947986,0.029408837,0.08471207,0.261119435,0.045943655,"CRP"
